@relation soybean

@attribute date numeric
@attribute plant_stand numeric
@attribute precip numeric
@attribute temp numeric
@attribute hail numeric
@attribute crop_hist numeric
@attribute area_damaged numeric 
@attribute severity numeric
@attribute seed_tmt numeric
@attribute germination numeric
@attribute plant_growth numeric
@attribute leaves numeric
@attribute leafspots_halo numeric
@attribute leafspots_marg numeric
@attribute leafspots_size numeric
@attribute leaf_shread numeric
@attribute leaf_malf numeric
@attribute leaf_mild numeric
@attribute stem numeric
@attribute lodging numeric
@attribute stem_cankers numeric
@attribute canker_lesion numeric
@attribute fruiting_bodies numeric
@attribute external_decay numeric
@attribute mycelium numeric
@attribute int_discolor numeric
@attribute sclerotia numeric
@attribute fruit_pods numeric
@attribute fruit_spots numeric
@attribute seed numeric
@attribute mold_growth numeric
@attribute seed_discolor numeric
@attribute seed_size numeric
@attribute shriveling numeric
@attribute roots numeric
@attribute class {D1,D2,D3,D4}

@data
4,0,2,1,1,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
5,0,2,1,0,3,1,1,1,2,1,1,0,2,2,0,0,0,1,1,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
3,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
6,0,2,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
4,0,2,1,0,3,0,2,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
5,0,2,1,0,2,0,1,1,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
3,0,2,1,0,2,1,1,0,1,1,1,0,2,2,0,0,0,1,1,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
3,0,2,1,0,1,0,2,1,2,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
6,0,2,1,0,3,0,1,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
6,0,2,1,0,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
6,0,0,2,1,0,2,1,0,0,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,D2
4,0,0,1,0,2,3,1,1,1,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,D2
5,0,0,2,0,3,2,1,0,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,D2
